timestamp,cpu_total,ram_percent,net_up_bps,net_down_bps,disk_read_bps,disk_write_bps,gpu_load,gpu_temp
1756692109.5297732,0.0,67.1,0.0,0.0,0.0,0.0,,
1756692110.538962,0.0,67.1,0.0,0.0,0.0,0.0,,
1756692111.5342774,0.0,67.1,0.0,0.0,0.0,0.0,,
1756692112.5270786,14.3,67.1,0.0,0.0,0.0,0.0,,
1756692113.5423362,25.0,67.1,0.0,0.0,0.0,263944.27912550507,,
1756692114.537127,11.1,67.1,0.0,0.0,0.0,0.0,,
1756692115.5403235,12.5,67.1,0.0,4662.409959982214,0.0,0.0,,
1756692117.0493977,100.0,67.3,0.0,0.0,0.0,0.0,,
1756692117.6129887,100.0,68.3,0.0,0.0,0.0,0.0,,
1756692118.6014125,100.0,68.3,0.0,0.0,0.0,0.0,,
1756692119.6070368,100.0,68.4,0.0,0.0,0.0,0.0,,
1756692120.6016474,100.0,68.3,0.0,0.0,0.0,0.0,,
1756692121.6015468,100.0,68.4,0.0,0.0,0.0,0.0,,
1756692122.6055603,100.0,68.4,0.0,0.0,0.0,0.0,,
1756692123.5980237,100.0,68.4,0.0,0.0,0.0,1056101.6265195408,,
1756692124.610513,85.7,68.4,0.0,0.0,0.0,0.0,,
1756692125.6075196,100.0,68.4,0.0,0.0,0.0,0.0,,
1756692126.6004813,100.0,68.4,0.0,0.0,0.0,0.0,,
1756692127.6054478,87.5,68.4,0.0,0.0,0.0,0.0,,
1756692128.5835848,50.0,67.1,0.0,0.0,0.0,0.0,,
1756692129.5312116,12.5,67.1,0.0,0.0,0.0,0.0,,
1756692130.558945,12.5,67.1,201521.98474465564,84277.05122385945,78192758.8955042,0.0,,
1756692131.5366266,12.5,67.2,0.0,0.0,0.0,0.0,,
1756692132.5439746,37.5,67.2,0.0,0.0,0.0,0.0,,
1756692133.537258,0.0,67.1,0.0,0.0,0.0,0.0,,
1756692134.545921,26.7,67.2,0.0,0.0,0.0,0.0,,
1756692135.5321653,12.5,67.2,0.0,0.0,0.0,0.0,,
1756692136.5398517,12.5,67.2,0.0,0.0,0.0,0.0,,
1756692137.5380356,20.0,67.2,0.0,3994.8130245847965,0.0,0.0,,
1756692138.5297441,25.0,67.2,0.0,0.0,0.0,0.0,,
1756692139.543012,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692140.5443296,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692141.5366054,25.0,67.2,0.0,0.0,0.0,0.0,,
1756692142.541458,0.0,67.2,0.0,0.0,0.0,8912646.673641434,,
1756692143.5647626,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692144.5400782,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692145.53982,25.0,67.2,0.0,0.0,0.0,0.0,,
1756692146.5405533,33.3,67.2,0.0,0.0,0.0,0.0,,
1756692147.554826,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692148.58731,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692149.5624204,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692150.5592413,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692151.5641508,25.0,67.2,0.0,0.0,0.0,0.0,,
1756692152.5719688,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692153.5797915,33.3,67.2,0.0,0.0,0.0,0.0,,
1756692154.5696127,0.0,67.2,0.0,0.0,0.0,0.0,,
1756692156.5949156,0.0,67.9,0.0,0.0,0.0,0.0,,
1756692157.59434,0.0,68.1,0.0,0.0,0.0,0.0,,
1756692158.5958116,0.0,68.1,0.0,0.0,3270954.19753439,30256326.327193107,,
1756692159.5825262,33.3,68.0,0.0,0.0,0.0,0.0,,
1756692160.5747511,0.0,68.0,0.0,0.0,0.0,0.0,,
1756692161.5855224,0.0,68.0,0.0,0.0,0.0,0.0,,
1756692162.5891526,0.0,68.0,0.0,0.0,0.0,0.0,,
1756692163.6369915,33.3,68.0,0.0,0.0,0.0,0.0,,
